Taxon,Cluster
1016163,1
1020421,1
1005454,1
1019888,1
1031171,1
1028015,1
1009713,1
1020403,1
1016175,1
1013475,1
1005446,1
1013502,1
1031198,1
1016788,1
1013527,1
1009675,1
1016776,1
1016208,1
1019852,1
1020369,1
1016216,1
1048148,2
1044914,2
1038255,2
997641,2
1003558,2
982425,2
1001022,2
1038135,2
1051227,2
980953,2
993009,2
1009722,2
983251,2
980968,2
996633,2
1004284,2
1019854,3
1019860,3
1028077,3
1013481,3
1017804,3
1031189,3
1016815,3
1013499,3
1016800,3
1028031,4
1031172,4
1020427,4
975747,5
1005438,5
997617,6
1020422,7
1020415,8
1020400,9
1020366,10
1020352,11
1019911,12
1017778,13
1016842,14
1016809,15
1016695,16
1013459,17
1005430,18
